0111 007c 0069 006d 0074 0155 0073	0111 002d,0111,0069 002d,0069,006d 0074,0155,002d 002d,0074,0155 002d,0155,0073	šimtas
0074 0159 006b 0073 0074 0155 006e 007c 0074 007c 0069 0073	0074,0159,002d 002d,0074,0159 002d,0159,006b 0073 0074,0155,002d 002d,0074,0155 002d,0155,006e 0074 002d,0074,0069 002d,0069,0073	tūkstantis
0070 007c 0069 0072 006d 0155 0073	0070 002d,0070,0069 002d,0069,0072 006d,0155,002d 002d,006d,0155 002d,0155,0073	pirmas
0155 006e 0074 0072 0155 0073	0155 002d,0155,006e 0074 0072,0155,002d 002d,0072,0155 002d,0155,0073	antras
0064 0155 0072 0062 0155 0073	0064,0155,002d 002d,0064,0155 002d,0155,0072 0062,0155,002d 002d,0062,0155 002d,0155,0073	darbas
006d 007c 0069 0065 0073 0074 0155 0073	006d 0069,0065,002d 002d,0069,0065 002d,0065,0073 0074,0155,002d 002d,0074,0155 002d,0155,0073	miestas
006b 0061 0069 006d 0155 0073	006b,0061,002d 0061,0069,002d 002d,0061,0069 006d,0155,002d 002d,006d,0155 002d,0155,0073	kaimas
006b 007c 0107 006c 007c 0107 0073	006b 002d,006b,0107 006c,007c 002d,006c,0107 002d,0107,0073	kelias
0075 0070 007c 00eb	0075 002d,0075,0070 002d,0070,00eb	upė
006a 007c 0159 0072 0155	002d,006a,0159 0072,0155,002d 002d,0072,0155	jūra
0064 0155 006e 0067 0075 0073	0064,0155,002d 002d,0064,0155 002d,0155,006e 0067,0075,002d 002d,0067,0075 002d,0075,0073	dangus
0064 007c 0107 0062 007c 0107 0073 007c 0069 0073	0064 002d,0064,0107 002d,0107,0062 002d,0062,0107 002d,0107,0073 002d,0073,0069 002d,0069,0073	debesis
006c 007c 0069 0065 0074 0075 0073	006c,007c 0069,0065,002d 002d,0069,0065 0074,0075,002d 002d,0074,0075 002d,0075,0073	lietus
0073 007c 006e 007c 0069 0065 0067 0155 0073	0073 006e 0069,0065,002d 002d,0069,0065 0067,0155,002d 002d,0067,0155 002d,0155,0073	sniegas
0072 007c 00e1 0111 006b 0075 0073	0072 002d,0072,00e1 002d,00e1,0111 006b,0075,002d 002d,006b,0075 002d,0075,0073	ryškus
0074 0155 006d 0073 0075 0073	0074,0155,002d 002d,0074,0155 002d,0155,006d 0073,0075,002d 002d,0073,0075 002d,0075,0073	tamsus
0064 007c 0069 0064 007c 0107 006c 007c 0069 0073	0064 002d,0064,0069 002d,0069,0064 002d,0064,0107 006c,007c 002d,006c,0069 002d,0069,0073	didelis
006d 0155 0163 0155 0073	006d,0155,002d 002d,006d,0155 0163,0155,002d 002d,0163,0155 002d,0155,0073	mažas
0067 007c 0107 0072 0155 0073	0067 002d,0067,0107 0072,0155,002d 002d,0072,0155 002d,0155,0073	geras
0062 006c 00f3 0067 0155 0073	0062 006c,00f3,002d 002d,006c,00f3 0067,0155,002d 002d,0067,0155 002d,0155,0073	blogas
006e 0061 0075 006a 007c 0107 0073	006e,0061,002d 0061,0075 002d,0075,006a 002d,006a,0107 002d,0107,0073	naujas
0073 007c 0107 006e 0155 0073	0073 002d,0073,0107 006e,0155,002d 002d,006e,0155 002d,0155,0073	senas
0067 007c 0072 007c 0065 0069 0074 0155 0073	0067 0072 0065,0069,002d 002d,0065,0069 0074,0155,002d 002d,0074,0155 002d,0155,0073	greitas
006c 007c 00eb 0074 0155 0073	006c,007c 002d,006c,00eb 0074,0155,002d 002d,0074,0155 002d,0155,0073	lėtas
0155 0073 00f3 0074 007c 0069 0073	0155 0073,00f3,002d 002d,0073,00f3 002d,00f3,0074 002d,0074,0069 002d,0069,0073	ąsotis
0107 0067 007c 006c 007c 00eb	0107 002d,0107,0067 006c,007c 002d,006c,00eb	eglė
00e1 0073 0155 006b 007c 00e1 006d 0155 0073	00e1 0073,0155,002d 002d,0073,0155 002d,0155,006b 002d,006b,00e1 006d,0155,002d 002d,006d,0155 002d,0155,0073	įsakymas
0159 0064 0072 0155	0159 002d,0159,0064 0072,0155,002d 002d,0072,0155	ūdra
0159 006b 0155 0073	0159 006b,0155,002d 002d,006b,0155 002d,0155,0073	ūkas
010d 007c 0107 0073 006e 0155 006b 0155 0073	010d 002d,010d,0107 002d,0107,0073 006e,0155,002d 002d,006e,0155 006b,0155,002d 002d,006b,0155 002d,0155,0073	česnakas
0111 0061 0075 006b 0111 0074 0155 0073	0111,0061,002d 0061,0075 002d,0075,006b 0111 0074,0155,002d 002d,0074,0155 002d,0155,0073	šaukštas
0163 0076 0061 0069 0067 007c 0163 007c 0064 007c 00eb	0163 0076,0061,002d 0061,0069,002d 002d,0061,0069 002d,0069,0067 0163 0064 002d,0064,00eb	žvaigždė
0063 0068 007c 0107 006d 007c 0069 006a 007c 0107	0063,0068 002d,0068,0107 002d,0107,006d 002d,006d,0069 002d,0069,006a 002d,006a,0107	chemija
0074 007c 0107 006c 007c 0107 0066 00f3 006e 0155 0073	0074 002d,0074,0107 006c,007c 002d,006c,0107 0066,00f3,002d 002d,0066,00f3 006e,0155,002d 002d,006e,0155 002d,0155,0073	telefonas
