dangus	640055016e00670075007300	640055012d00 2d0064005501 2d0055016e00 670075002d00 2d0067007500 2d0075007300
debesis	640007017c00620007017c00730069007c007300	640007012d00 2d0064000701 620007012d00 2d0062000701 730069002d00 69007c00 2d0069007300
lietus	6c0069007c000701740075007300	6c0069002d00 69007c00 2d0069000701 740075002d00 2d0074007500 2d0075007300
sniegas	73007c006e0069007c000701670055017300	7300 6e0069002d00 69007c00 2d0069000701 670055012d00 2d0067005501 2d0055017300
ryškus	7200e1007c0011016b0075007300	7200e1002d00 2d007200e100 2d00e1001101 6b0075002d00 2d006b007500 2d0075007300
tamsus	740055016d00730075007300	740055012d00 2d0074005501 2d0055016d00 730075002d00 2d0073007500 2d0075007300
didelis	640069007c00640007017c006c0069007c007300	640069002d00 69007c00 640007012d00 2d0064000701 6c0069002d00 69007c00 2d0069007300
mažas	6d005501630155017300	6d0055012d00 2d006d005501 630155012d00 2d0063015501 2d0055017300
geras	670007017c00720055017300	670007012d00 2d0067000701 720055012d00 2d0072005501 2d0055017300
blogas	62006c00f300670055017300	6200 6c00f3002d00 2d006c00f300 670055012d00 2d0067005501 2d0055017300
naujas	6e00550159016a0007017c007300	6e0055012d00 2d006e005501 2d0055015901 6a0007012d00 2d006a000701 2d0007017300
senas	730007017c006e0055017300	730007012d00 2d0073000701 6e0055012d00 2d006e005501 2d0055017300
greitas	67007c00720007017c006a00740055017300	6700 720007012d00 2d0072000701 2d002d0007017c006a00 740055012d00 2d0074005501 2d0055017300
lėtas	6c00eb007c00740055017300	6c00eb002d00 2d006c00eb00 740055012d00 2d0074005501 2d0055017300
ąsotis	55017300f300740069007c007300	5501 7300f3002d00 2d007300f300 740069007c002d002d00 69007c00 2d0069007300
eglė	070167007c006c00eb007c00	0701 2d0007016700 6c00eb002d00 2d006c00eb00
įsakymas	e100730055016b00e1007c006d0055017300	e100 730055012d00 2d0073005501 6b00e1002d00 2d006b00e100 6d0055012d00 2d006d005501 2d0055017300
ūdra	5901640072005501	5901 2d0059016400 720055012d00 2d0072005501
ūkas	59016b0055017300	5901 6b0055012d00 2d006b005501 2d0055017300
česnakas	0d0107017c0073006e0055016b0055017300	0d0107012d00 2d000d010701 2d0007017300 6e0055012d00 2d006e005501 6b0055012d00 2d006b005501 2d0055017300
šaukštas	1101550159016b001101740055017300	110155012d00 2d0011015501 2d0055015901 2d0059016b00 1101 740055012d00 2d0074005501 2d0055017300
žvaigždė	6301760055016a0067007c0063017c006400eb007c00	6301 760055012d00 2d0076005501 2d0055016a00 6700 6301 6400eb002d00 2d006400eb00
chemija	6300680007017c006d0069007c006a0007017c00	63006800 2d002d00630068000701 6d0069002d00 69007c00 6a0007012d00 2d006a000701
telefonas	740007017c006c0007017c006600f3006e0055017300	740007012d00 2d0074000701 6c0007012d00 2d006c000701 6600f3002d00 2d006600f300 6e0055012d00 2d006e005501 2d0055017300
televizorius	740007017c006c0007017c00760069007c007a00f300720075007c007300	740007012d00 2d0074000701 6c0007012d00 2d006c000701 760069002d00 69007c00 7a00f3002d00 2d007a00f300 720075002d00 75007c00 2d0075007300
radijas	72005501640069007c006a0007017c007300	720055012d00 2d0072005501 640069002d00 69007c00 6a0007012d00 2d006a000701 2d0007017300
automobilis	550159017400f3006d00f300620069007c006c0069007c007300	5501 2d0055015901 7400f3002d00 2d007400f300 6d00f3002d00 2d006d00f300 620069002d00 69007c00 6c0069002d00 69007c00 2d0069007300
dviratis	64007c00760069007c0072005501740069007c007300	6400 760069002d00 69007c00 720055012d00 2d0072005501 740069007c002d002d00 69007c00 2d0069007300
traukinys	74007200550159016b0069007c006e00e1007c007300	7400 720055012d00 2d0072005501 2d0055015901 6b0069002d00 69007c00 6e00e1002d00 2d006e00e100 2d00e1007300
lėktuvas	6c00eb007c006b0074007500760055017300	6c00eb002d00 2d006c00eb00 2d00eb006b00 740075002d00 2d0074007500 760055012d00 2d0076005501 2d0055017300
laivas	6c0055016a00760055017300	6c0055012d00 2d006c005501 2d002d006c0055016a00 760055012d00 2d0076005501 2d0055017300
kelionė	6b0007017c006c00f3007c006e00eb007c00	6b0007012d00 2d006b000701 6c00f3007c002d002d00 f3007c00 6e00eb002d00 2d006e00eb00
diena	640069007c0007016e005501	640069002d00 69007c00 2d0069000701 6e0055012d00 2d006e005501
naktis	6e0055016b007c00740069007c007300	6e0055012d00 2d006e005501 2d0055016b00 740069007c002d002d00 69007c00 2d0069007300
rytas	7200e1007c00740055017300	7200e1002d00 2d007200e100 740055012d00 2d0074005501 2d0055017300
vakaras	760055016b005501720055017300	760055012d00 2d0076005501 6b0055012d00 2d006b005501 720055012d00 2d0072005501 2d0055017300
savaitė	73005501760055016a007400eb007c00	730055012d00 2d0073005501 760055012d00 2d0076005501 2d0055016a00 7400eb002d00 2d007400eb00
mėnuo	6d00eb007c006e007500f300	6d00eb002d00 2d006d00eb00 6e0075002d00 7500f3002d00 2d007500f300
metai	6d0007017c00740055016a00	6d0007012d00 2d006d000701 740055012d00 2d0074005501 2d0055016a00
valanda	760055016c0055016e0064005501	760055012d00 2d0076005501 6c0055012d00 2d006c005501 2d0055016e00 640055012d00 2d0064005501
minutė	6d0069007c006e0075007400eb007c00	6d0069002d00 69007c00 6e0075002d00 2d006e007500 7400eb002d00 2d007400eb00
sekundė	730007017c006b0075006e007c006400eb007c00	730007012d00 2d0073000701 6b0075002d00 2d006b007500 2d0075006e00 6400eb002d00 2d006400eb00
mama	6d0055016d005501	6d0055012d00 2d006d005501 6d0055012d00 2d006d005501
tėtis	7400eb007c00740069007c007300	7400eb002d00 2d007400eb00 740069007c002d002d00 69007c00 2d0069007300
sesuo	730007017c0073007500f300	730007012d00 2d0073000701 730075002d00 7500f3002d00 2d007500f300
brolis	62007200f3006c0069007c007300	6200 7200f3002d00 2d007200f300 6c0069002d00 69007c00 2d0069007300
