ao	5501f300
ap	55017000
ar	55017200
as	55017300
at	55017400
au	55015901
av	55017600
ay	5501e100
az	55017300
aą	55015501
aa	55015501
ač	55010d01
ac	55010d01
aė	5501eb00
ae	5501eb00
aę	55010701
aį	5501e100
ai	5501e100
aš	55011101
as	55011101
aū	55015901
au	55015901
aų	55015901
až	55011101
az	55011101
ba	62005501
be	620007017c00
bi	620069007c00
bo	6200f300
bu	62007500
bulvė	620075006c007c007600eb007c00
bulve	620075006c007c007600eb007c00
ca	63005501
ce	630007017c00
ci	630069007c00
co	6300f300
cu	63007500
da	64005501
de	640007017c00
di	640069007c00
do	6400f300
ea	07015501
eb	07017000
ec	07016300
ed	07017400
ee	07010701
ef	07016600
eg	07016b00
eh	07016800
ei	07016a00
ej	07016a007c00
ek	07016b00
el	07016c00
em	07016d00
en	07016e00
eo	0701f300
ep	07017000
er	07017200
es	07017300
et	07017400
eu	07015901
ev	07017600
ey	0701e100
ez	07017300
eą	07015501
ea	07015501
eč	07010d01
ec	07010d01
eė	0701eb00
ee	0701eb00
eę	07010701
eį	0701e100
ei	0701e100
eš	07011101
es	07011101
eū	07015901
eu	07015901
eų	07015901
ež	07011101
ez	07011101
fa	66005501
fe	660007017c00
fi	660069007c00
fo	6600f300
fu	66007500
ga	67005501
ge	670007017c00
gi	670069007c00
go	6700f300
gu	67007500
ha	68005501
he	680007017c00
hi	680069007c00
ho	6800f300
hu	68007500
ia	0701
ib	69007000
ic	69006300
id	69007400
ie	69000701
if	69006600
ig	69006b00
ih	69006800
ii	69006900
ij	69006a007c00
ik	69006b00
il	69006c00
im	69006d00
in	69006e00
io	f300
ip	69007000
ir	69007200
is	69007300
it	69007400
iu	7500
iv	69007600
iy	6900e100
iz	69007300
ią	0701
ia	0701
ič	69000d01
ic	69000d01
iė	6900eb00
ie	6900eb00
ię	69000701
iį	6900e100
ii	6900e100
iš	69001101
is	69001101
iū	5901
iu	5901
ių	5901
iž	69001101
iz	69001101
ja	6a0007017c00
je	6a0007017c00
ji	6a0069007c00
jo	6a00f3007c00
ju	6a0075007c00
ka	6b005501
ke	6b0007017c00
ki	6b0069007c00
ko	6b00f300
ku	6b007500
la	6c005501
le	6c0007017c00
li	6c0069007c00
lo	6c00f300
lu	6c007500
ma	6d005501
me	6d0007017c00
mi	6d0069007c00
mo	6d00f300
mu	6d007500
na	6e005501
ne	6e0007017c00
ni	6e0069007c00
no	6e00f300
